timestamp,ip,mac,packet_rate,port_count,unique_ports,scan_score,label
2026-01-21 13:38:14,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:20,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-21 13:38:20,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:26,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-21 13:38:26,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:32,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-21 13:38:32,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:38,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:38:38,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:44,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-21 13:38:44,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:38:50,192.168.10.20,d0:39:fa:e8:c3:30,1.15,7,0,0,0
2026-01-21 13:38:50,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:56,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-21 13:38:56,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:39:02,192.168.10.20,d0:39:fa:e8:c3:30,2.47,15,0,0,0
2026-01-21 13:39:02,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:39:09,192.168.10.20,d0:39:fa:e8:c3:30,1.98,12,0,0,0
2026-01-21 13:39:09,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:39:15,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:39:15,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:39:21,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-21 13:39:21,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:39:27,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 13:39:27,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:39:33,192.168.10.20,d0:39:fa:e8:c3:30,1.65,10,0,0,0
2026-01-21 13:39:33,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:39:39,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:39:39,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:39:45,192.168.10.20,d0:39:fa:e8:c3:30,0.82,5,0,0,0
2026-01-21 13:39:45,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:39:51,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:39:51,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:39:57,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-21 13:39:57,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:40:03,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 13:40:03,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:40:09,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-21 13:40:09,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:40:15,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 13:40:15,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:40:21,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-21 13:40:21,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:40:28,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-21 13:40:28,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:40:34,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-21 13:40:34,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:40:46,192.168.10.20,d0:39:fa:e8:c3:30,0.82,5,0,0,0
2026-01-21 13:40:46,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:40:52,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 13:40:52,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:40:58,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-21 13:40:58,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:41:04,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 13:41:04,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:41:10,192.168.10.20,d0:39:fa:e8:c3:30,2.15,13,0,0,0
2026-01-21 13:41:10,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:41:16,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-21 13:41:16,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:13:38,192.168.10.20,d0:39:fa:e8:c3:30,0.75,4,0,0,0
2026-01-22 03:13:38,192.168.10.1,e4:fd:45:45:f8:c1,0.19,1,0,30,0
2026-01-22 03:13:44,192.168.10.20,d0:39:fa:e8:c3:30,0.8,5,0,0,0
2026-01-22 03:13:44,192.168.10.1,e4:fd:45:45:f8:c1,0.32,2,0,0,0
2026-01-22 03:13:50,192.168.10.20,d0:39:fa:e8:c3:30,1.98,12,0,0,0
2026-01-22 03:13:50,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:13:56,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-22 03:13:56,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:14:02,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-22 03:14:02,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-22 03:14:08,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-22 03:14:08,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-22 03:14:14,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-22 03:14:14,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:14:21,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-22 03:14:21,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:14:27,192.168.10.20,d0:39:fa:e8:c3:30,1.82,11,0,0,0
2026-01-22 03:14:27,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:14:33,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-22 03:14:33,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:14:39,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-22 03:14:39,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:14:45,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-22 03:14:45,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:14:51,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-22 03:14:51,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:14:57,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,0,0,0
2026-01-22 03:14:57,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:15:03,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-22 03:15:03,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:15:09,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-22 03:15:09,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:15:15,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-22 03:15:15,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:15:27,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-22 03:15:27,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:15:33,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-22 03:15:33,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-22 03:15:39,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-22 03:15:39,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-22 03:15:45,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-22 03:15:45,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:15:58,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-22 03:15:58,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:16:04,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-22 03:16:04,192.168.10.1,e4:fd:45:45:f8:c1,0.66,4,0,0,0
2026-01-22 03:16:34,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-22 03:16:34,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:16:40,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-22 03:16:40,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:16:46,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-22 03:16:46,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:16:52,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-22 03:16:52,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:16:58,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-22 03:16:58,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:17:10,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-22 03:17:10,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:17:16,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-22 03:17:16,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:17:22,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-22 03:17:22,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:17:29,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-22 03:17:29,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:19:50,0.0.0.0,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-22 03:19:50,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-22 03:19:50,192.168.10.20,d0:39:fa:e8:c3:30,1.65,10,1,0,0
2026-01-22 03:19:56,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-22 03:19:56,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:20:02,192.168.10.20,d0:39:fa:e8:c3:30,5.28,32,0,0,0
2026-01-22 03:20:02,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:20:08,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-22 03:20:08,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-22 03:20:14,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-22 03:20:14,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:20:20,192.168.10.20,d0:39:fa:e8:c3:30,2.15,13,0,0,0
2026-01-22 03:20:21,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:20:27,192.168.10.20,d0:39:fa:e8:c3:30,2.98,18,1,30,0
2026-01-22 03:20:33,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,1,30,0
2026-01-22 03:20:33,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:20:39,192.168.10.20,d0:39:fa:e8:c3:30,1.66,10,0,0,0
2026-01-22 03:20:39,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:20:45,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-22 03:20:45,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:20:51,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-22 03:20:51,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:20:57,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-22 03:20:57,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-22 03:21:03,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,0,0,0
2026-01-22 03:21:03,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-22 03:21:09,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,0,0,0
2026-01-22 03:21:09,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:21:15,192.168.10.20,d0:39:fa:e8:c3:30,4.8,29,0,30,0
2026-01-22 03:21:15,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:21:21,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
